service,pricing_basis,typical_historical_price_ngn,observed_historical_range_ngn,latest_recorded_price_ngn,latest_recorded_date,transaction_count,current_price_status,copilot_response_rule,source_file
Car tyre fixing balancing and alignment package,Per recorded package,"10,000-15,000","1,500-20,000","10,000",2026-08-01,92,Unconfirmed,"Describe as a historical reference only and ask the customer to confirm the current quote.","Anonymized historical product sales report"
SUV tyre fixing balancing and alignment package,Per recorded package,"15,000-20,000","10,000-40,000","15,000",2026-08-01,117,Unconfirmed,"Describe as a historical reference only and ask the customer to confirm the current quote.","Anonymized historical product sales report"
Wheel balancing,Recorded unit price,"2,000-5,000","2,000-11,000","2,000",2026-07-29,31,Unconfirmed,"State that the final charge can depend on the number of wheels and vehicle type; request a current quote.","Anonymized historical product sales report"
Wheel alignment,Per recorded line item,"3,000","2,500-6,000","3,000",2026-08-01,27,Unconfirmed,"Use ₦3,000 as the most common historical charge but request confirmation before presenting it as today's price.","Anonymized historical product sales report"
Standalone tyre fixing,Per recorded unit,"3,000","3,000","3,000",2026-08-01,2,Unconfirmed,"Use only as a historical reference and confirm whether the price is per tyre.","Anonymized historical product sales report"
Oil-service labour,Generic Service line associated with oil and filter sales,"3,000","500-7,000","3,000",2026-08-01,128,Unconfirmed,"Explain that oil and filter costs are separate and depend on the vehicle specification; request a current quote.","Anonymized historical product sales report"
Brake-pad replacement,"Brake-pad products were recorded but no consistent standalone installation fee was identified","","","",2026-07-22,"",Not established,"Do not quote one brake-pad price; request the vehicle model and current parts and labour quote.","Anonymized historical product sales report"
Battery installation,"Battery products were recorded but no standalone installation fee was identified","","","",2026-08-01,"",Not established,"Do not quote one battery price; request required battery capacity and current product and installation quote.","Anonymized historical product sales report"
Vehicle diagnostics,"No matching diagnostic OBD scanner or scanning sale line was found","","","","","",Not found,"State that the available report does not establish a diagnostic price.","Anonymized historical product sales report"
Tyre sales,"Product-specific by size and brand","","","","","",Variable,"Ask for tyre size, brand preference and current stock; never infer today's price from historical transactions.","Anonymized historical product sales report"
